storey_range,floor_area_sqm,no.of bto,resale application,remaining_lease_months,Distance to nearest MRT,Distance to CBD,isMatureEstate,over_under_classification
8,62.0,7314,26436.0,1104,582.7295776,2087.383494,1,0
35,62.0,7314,26436.0,1104,514.7079274,2143.903543,1,1
11,82.0,7314,26436.0,741,1011.015418,1924.481183,1,1
2,65.0,7314,26436.0,660,109.2874751,4291.402221,1,1
5,73.0,7314,26436.0,668,523.7433198,4124.843025,1,0
11,59.0,7314,26436.0,663,624.7761277,2892.927201,1,0
5,59.0,7314,26436.0,663,624.7761277,2892.927201,1,0
14,68.0,7314,26436.0,1112,417.6719463,4564.485903,1,0
14,67.0,7314,26436.0,1111,397.1210869,4611.157193,1,1
11,59.0,7314,26436.0,664,973.8510307,2865.15762,1,1
5,88.0,7314,26436.0,624,326.4118347,1895.439296,1,0
5,88.0,7314,26436.0,624,343.5134951,1943.058815,1,0
2,88.0,7314,26436.0,624,343.5134951,1943.058815,1,0
17,93.0,7314,26436.0,1140,244.3809264,2231.016543,1,1
32,92.0,7314,26436.0,1140,244.3809264,2231.016543,1,0
14,100.0,7314,26436.0,1017,375.9998802,2110.822123,1,1
11,90.0,7314,26436.0,984,653.8861058,959.4134859,1,1
8,91.0,7314,26436.0,777,641.0228723,2779.971961,1,1
2,94.0,7314,26436.0,1109,394.3942058,2476.268406,1,0
5,108.0,7314,26436.0,910,783.2641126,4712.547928,1,1
2,90.0,7314,26436.0,984,555.1399932,2573.193677,1,0
8,91.0,7314,26436.0,984,390.2957748,2481.144549,1,0
2,85.0,7314,26436.0,1055,537.802057,2703.357861,1,1
5,92.0,7314,26436.0,984,555.1399932,2573.193677,1,0
17,93.0,7314,26436.0,1106,582.7295776,2087.383494,1,0
17,101.0,7314,26436.0,970,149.3055138,3852.788828,1,0
2,100.0,7314,26436.0,967,321.6060721,3636.920064,1,1
26,100.0,7314,26436.0,1020,238.9937242,3822.549932,1,0
20,100.0,7314,26436.0,1019,102.3158722,3669.514728,1,0
2,98.0,7314,26436.0,690,267.009023,4244.164912,1,0
8,91.0,7314,26436.0,669,491.8293717,3981.907825,1,1
5,112.0,7314,26436.0,1140,157.1169502,2349.245274,1,0
17,138.0,7314,26436.0,770,1190.012532,2361.986211,1,0
14,110.0,7314,26436.0,984,567.7253501,868.4934051,1,1
26,115.0,7314,26436.0,954,1114.911647,4017.567018,1,0
29,110.0,7314,26436.0,984,503.6954236,2538.655051,1,1
20,115.0,7314,26436.0,962,393.5502112,2270.388565,1,0
20,115.0,7314,26436.0,962,319.0782336,2348.292568,1,0
5,114.0,7314,26436.0,960,393.5502112,2270.388565,1,0
26,110.0,7314,26436.0,983,547.3689564,2390.852052,1,0
